English,Portuguese-BR
ability,habilidade
able,capaz
about,cerca de
about,cerca de
above,acima de
accept,aceitar
according,de acordo com
across,através
action,ação
activity,atividade
actually,na realidade
administration,administração
adult,adulto
affect,afetar
after,depois
after,depois
again,novamente
against,contra
agency,agência
agree,aceita
allow,permitir
almost,quase
along,ao longo
already,já
also,também
although,Apesar
always,sempre
American,americano
American,americano
among,dentre
amount,quantia
analysis,análise
animal,animal
another,outro
answer,responda
answer,responda
anyone,alguém
anything,nada
appear,aparecer
apply,Aplique
approach,abordagem
area,área
argue,argumentar
army,exército
around,por aí
around,por aí
arrive,chegar
article,artigo
artist,artista
association,Associação
attack,ataque
attention,atenção
author,autor
authority,autoridade
available,acessível
avoid,evitar
away,um jeito
away,um jeito
baby,bebê
back,de volta
back,de volta
ball,bola
bank,banco
base,base
base,base
because,Porque
because,Porque
become,vir a ser
before,antes da
before,antes da
before,antes da
begin,começar
behavior,comportamento
behind,atras do
believe,acreditam
benefit,beneficiar
best,melhor
best,melhor
better,Melhor
better,Melhor
between,entre
beyond,além
billion,bilhão
black,Preto
blood,sangue
blue,azul
board,quadro
body,corpo
book,livro
both,Ambas
both,Ambas
break,parar
bring,trazer
brother,irmão
build,construir
building,prédio
business,o negócio
call,ligar
call,ligar
campaign,campanha
candidate,candidato
card,cartão
care,Cuidado
care,Cuidado
career,carreira
carry,carregar
case,caso
catch,truque
cause,causa
cause,causa
cell,célula
center,Centro
central,central
century,século
certain,certo
certainly,certamente
chair,cadeira
chance,chance
change,mudança
change,mudança
character,personagem
charge,carregar
check,Verifica
child,filho
choice,escolha
choose,escolher
church,igreja
city,cidade
claim,alegar
class,classe
clear,Claro
clearly,claramente
close,perto
close,perto
club,clube
cold,resfriado
college,faculdade
color,cor
come,venha
committee,Comitê
common,comum
community,comunidade
company,companhia
compare,comparar
computer,computador
concern,interesse
condition,doença
conference,conferência
congress,Congresso
consider,considerar
contain,conter
continue,Prosseguir
control,ao controle
control,ao controle
cost,custo
could,poderia
country,país
county,município
couple,casal
course,curso
court,quadra
cover,cobrir
create,crio
crime,crime
cultural,cultural
culture,cultura
current,atual
dark,Sombrio
data,dados
daughter,filha
dead,morto
deal,acordo
deal,acordo
death,morte
decade,década
decide,decidir
decision,decisão
defense,defesa
degree,grau
Democrat,Democrata
democratic,democrático
department,departamento
describe,descrever
design,Projeto
design,Projeto
despite,apesar de
determine,determinar
develop,desenvolve
development,desenvolvimento
difference,diferença
different,diferente
difficult,difícil
direction,direção
director,diretor
discover,descobrir
discuss,discutir
disease,doença
district,distrito
doctor,médico
dollar,dólar
door,porta
down,baixa
draw,empate
dream,Sonhe
drive,dirigir
drop,derrubar
drug,medicamento
during,durante
each,cada
each,cada
early,cedo
early,cedo
earth,terra
east,leste
easy,fácil
economic,econômico
economy,economia
edge,borda
education,Educação
effect,efeito
effort,esforço
eight,oito
either,qualquer
election,eleição
else,senão
employee,empregado
energy,energia
enjoy,desfrutar
enough,o suficiente
enough,o suficiente
enter,digitar
entire,inteira
environment,meio Ambiente
environmental,de Meio Ambiente
especially,especialmente
establish,estabelecer
even,até
even,até
evening,tarde
event,evento
ever,sempre
every,todo
everybody,todo o mundo
everyone,todos
everything,tudo
evidence,evidência
exactly,exatamente
example,exemplo
executive,executivo
expect,Espero
experience,experiência
expert,especialista
explain,explique
face,enfrentar
face,enfrentar
fact,facto
factor,fator
fail,falhou
fall,cair
family,família
father,pai
fear,temer
federal,Federal
feel,sentir
feeling,sentimento
field,campo
fight,lutar
figure,figura
fill,encher
film,filme
final,final
finally,finalmente
financial,financeiro
find,achar
fine,multar
finish,Finalizar
fire,incêndio
firm,empresa
first,primeiro
fish,peixe
five,cinco
floor,piso
focus,foco
follow,Segue
food,Comida
force,força
force,força
foreign,estrangeiro
forget,esquecer
form,Formato
form,Formato
former,antigo
forward,frente
four,quatro
free,gratuitamente
friend,amigo
from,a partir de
full,cheio
fund,fundo
future,futuro
game,jogos
general,em geral
girl,menina
give,dar
glass,vidro
goal,meta
good,Boa
government,governo
great,excelente
green,verde
ground,chão
group,grupo
grow,crescer
growth,crescimento
guess,acho
hair,cabelo
half,metade
hall,corredor
hand,mão
hang,pendurar
happen,acontecer
happy,feliz
hard,duro
hard,duro
have,tenho
head,cabeça
head,cabeça
health,saúde
hear,ouvir
heart,coração
help,ajuda
help,ajuda
here,aqui
herself,ela própria
high,Alto
himself,ele mesmo
history,história
hold,aguarde
home,casa
home,casa
hope,ter esperança
hospital,hospital
hour,hora
house,lar
however,Contudo
huge,enorme
human,humano
husband,esposo
idea,idéia
identify,identificar
image,imagem
imagine,Imagine
impact,impacto
important,importante
include,incluir
including,Incluindo
increase,aumentar
indeed,na verdade
indicate,indicar
individual,Individual
individual,Individual
industry,indústria
information,em formação
inside,lado de dentro
interest,interesse
international,internacional
interview,entrevista
into,em
involve,envolver
island,ilha
issue,questão
itself,em si
join,Junte
just,apenas
justice,justiça
keep,guarda
kill,matar
kind,Gentil
king,rei
know,conhecer
knowledge,conhecimento
land,terra
language,Língua
large,ampla
last,último
late,tarde
later,mais tarde
laugh,riso
lawyer,advogado
lead,conduzir
leader,líder
learn,aprender
least,ao menos
leave,sair
left,deixei
legal,jurídico
less,menos
less,menos
letter,carta
level,nível
life,vida
light,leve
like,Curti
like,Curti
likely,provável
line,linha
list,Lista
listen,ouço
little,pequena
little,pequena
little,pequena
live,viver
local,local
long,grandes
long,grandes
look,olhar
look,olhar
lose,perder
loss,perda
love,amor
love,amor
main,a Principal
maintain,manter
major,formar-se
make,faço
manage,gerir
management,gestão
manager,Gerente
many,muitos
market,mercado
material,material
matter,matéria
maybe,pode ser
mean,significa
measure,a medida
media,meios de comunicação
medical,médico
meet,encontrar
meeting,encontro
member,membro
memory,memória
mention,menção
message,mensagem
method,método
middle,meio
might,poderia
mile,milha
military,militares
million,milhão
mind,mente
minute,minuto
miss,senhorita
model,modelo
moment,momento
money,dinheiro
month,mês
more,mais
more,mais
morning,manhã
most,a maioria
most,a maioria
mother,mãe
mountain,montanha
move,jogada
movement,movimento
movie,filme
much,Muito de
much,Muito de
museum,museu
music,música
must,devo
myself,Eu mesmo
name,nome
name,nome
nation,nação
national,nacional
natural,natural
nature,natureza
near,aproximar
nearly,por pouco
necessary,necessário
need,precisar
need,precisar
network,rede
never,Nunca
news,notícia
next,próximo
nice,legais
night,noite
north,norte
note,Nota
note,Nota
nothing,nada
number,número
occur,ocorrer
offer,oferta
office,escritório
officer,Policial
official,oficial
often,muitas vezes
once,uma vez
only,só
only,só
onto,para
open,abrir
open,abrir
operation,Operação
opportunity,oportunidade
order,ordem
organization,organização
other,outro
other,outro
outside,fora
over,sobre
over,sobre
page,página
pain,dor
paper,papel
parent,pai
park,parque
part,papel
particular,especial
particularly,particularmente
party,Festa
pass,passar
past,passado
past,passado
patient,paciente
peace,Paz
people,pessoas
percent,por cento
perform,executar
performance,atuação
perhaps,talvez
period,período
person,pessoa
personal,pessoal
phone,telefone
photo,foto
photograph,fotografia
physical,fisica
pick,escolha
picture,foto
piece,peça
place,"Lugar, colocar"
place,"Lugar, colocar"
plan,plano
plan,plano
plant,plantar
play,Toque
play,Toque
player,jogador
point,ponto
point,ponto
police,polícia
policy,política
political,político
politics,política
poor,pobre
popular,popular
population,população
position,posição
possible,possível
power,potência
practice,prática
prepare,preparar
present,presente
president,Presidente
press,pressione
pressure,pressão
pretty,bonito
price,preço
private,privado
probably,provavelmente
problem,problema
process,processo
produce,produzir
product,produtos
production,Produção
professor,professor
program,programa
project,projeto
protect,proteger
prove,provar
provide,providenciar
public,público
public,público
pull,puxar
push,Empurre
quality,qualidade
question,pergunta
quickly,rapidamente
quite,bastante
race,corrida
radio,rádio
raise,levantar
range,variar
rate,avaliar
rather,em vez de
rather,em vez de
reach,alcançar
read,ler
ready,pronto
real,real
realize,entender
really,verdade
reason,razão
receive,receber
recent,recente
recently,recentemente
recognize,reconhecer
record,registro
